qubit, time(s), standardDev, maxDelta, minDelta
0, 4.85671910, 0.00981178, 0.02583185, 0.00898203
1, 5.36784310, 0.01233894, 0.03816991, 0.01323099
2, 5.35609032, 0.01122682, 0.02994965, 0.01130630
3, 5.27116015, 0.00991032, 0.02645586, 0.01021912
4, 5.27836611, 0.00940373, 0.02403686, 0.00983908
5, 5.29181691, 0.01115936, 0.02506927, 0.00995585
6, 5.30938368, 0.01003709, 0.01952429, 0.00936847
7, 5.36160685, 0.00998785, 0.02228616, 0.00927187
8, 5.29871353, 0.01013677, 0.02373663, 0.01020941
9, 5.21181211, 0.00879087, 0.01868286, 0.01100216
10, 5.19083991, 0.00793940, 0.01934824, 0.00797477
11, 5.10079701, 0.00843922, 0.02717917, 0.00598915
12, 5.10525637, 0.00673588, 0.01462479, 0.00645142
13, 5.09596878, 0.00753683, 0.01568025, 0.00847679
14, 5.08992109, 0.00652788, 0.01852694, 0.00616798
15, 5.09036816, 0.01070419, 0.03149067, 0.00867213
16, 5.09250625, 0.00866782, 0.02049581, 0.00941237
17, 5.09680394, 0.00885773, 0.02096506, 0.00983576
18, 5.09783988, 0.00794969, 0.01858397, 0.00869780
19, 5.09516361, 0.00805697, 0.01722143, 0.00934961
20, 5.09470389, 0.00835196, 0.01882007, 0.00802586
21, 5.09542036, 0.00950733, 0.02873063, 0.00959826
22, 5.09396995, 0.00922577, 0.02933894, 0.00778688
23, 5.09368159, 0.00794899, 0.02094125, 0.00733663
24, 5.09455588, 0.01037450, 0.03182504, 0.00991085
25, 5.09398341, 0.00769537, 0.01326752, 0.00960541
26, 5.09819065, 0.00618850, 0.01062025, 0.00822674
27, 5.11638662, 0.00924993, 0.02165345, 0.00845572
28, 5.11420437, 0.00520031, 0.01482872, 0.00800034
29, 5.11986220, 0.00970075, 0.02073872, 0.01028621
30, 4.86764796, 0.00849650, 0.01748102, 0.01226909
