qubit, time(s), standardDev, maxDelta, minDelta
0, 0.31024905, 0.00009859, 0.00021604, 0.00013300
1, 0.34122640, 0.00030701, 0.00129360, 0.00015551
2, 0.33562049, 0.00004130, 0.00007740, 0.00005754
3, 0.33612010, 0.00022609, 0.00096967, 0.00012395
4, 0.33651974, 0.00008311, 0.00028727, 0.00014856
5, 0.33207160, 0.00057700, 0.00167030, 0.00031048
6, 0.33101915, 0.00034410, 0.00149180, 0.00018429
7, 0.33825415, 0.00024115, 0.00102788, 0.00013298
8, 0.33430046, 0.00033563, 0.00144964, 0.00014347
9, 0.32584975, 0.00006850, 0.00015523, 0.00015876
10, 0.32281411, 0.00160711, 0.00699294, 0.00047505
11, 0.32196450, 0.00004657, 0.00005555, 0.00008845
12, 0.32221797, 0.00160373, 0.00698588, 0.00043895
13, 0.32547104, 0.00012388, 0.00037897, 0.00019491
14, 0.32619573, 0.00218255, 0.00656317, 0.00087882
15, 0.32673670, 0.00218607, 0.00660442, 0.00083472
16, 0.32564626, 0.00158128, 0.00688567, 0.00049624
17, 0.32562851, 0.00156403, 0.00681354, 0.00045155
18, 0.32535936, 0.00019017, 0.00079178, 0.00018646
19, 0.32570791, 0.00149731, 0.00651097, 0.00050282
20, 0.32531999, 0.00005499, 0.00009204, 0.00010513
21, 0.32743784, 0.00408052, 0.01185397, 0.00223180
22, 0.32545681, 0.00009861, 0.00028400, 0.00021071
23, 0.32535115, 0.00004156, 0.00006183, 0.00010029
24, 0.32531490, 0.00005780, 0.00009189, 0.00011101
25, 0.32516052, 0.00005505, 0.00012349, 0.00008942
26, 0.32525505, 0.00004717, 0.00009404, 0.00009288
27, 0.32523055, 0.00005529, 0.00009661, 0.00010867
28, 0.44976265, 0.00026270, 0.00032656, 0.00056465
