qubit, time(s), standardDev, maxDelta, minDelta
0, 0.62211295, 0.00520446, 0.01570491, 0.00184103
1, 0.69326700, 0.00012794, 0.00021802, 0.00016488
2, 0.67154970, 0.00107563, 0.00467048, 0.00033584
3, 0.67214041, 0.00003822, 0.00006456, 0.00006633
4, 0.67355095, 0.00115560, 0.00235118, 0.00073777
5, 0.67509216, 0.00012743, 0.00036389, 0.00017303
6, 0.66229089, 0.00133679, 0.00582329, 0.00042399
7, 0.67662033, 0.00130956, 0.00570265, 0.00039514
8, 0.66941694, 0.00233190, 0.00591298, 0.00110582
9, 0.66276810, 0.00212207, 0.00641491, 0.00088999
10, 0.64652601, 0.00530695, 0.01596912, 0.00188819
11, 0.64360118, 0.00004074, 0.00008273, 0.00006437
12, 0.64410545, 0.00391390, 0.01705955, 0.00094939
13, 0.65504569, 0.00747249, 0.01629430, 0.00430173
14, 0.65266376, 0.00535536, 0.01628537, 0.00193386
15, 0.65196636, 0.00384031, 0.01673172, 0.00100853
16, 0.65187099, 0.00590651, 0.02574108, 0.00145080
17, 0.65220015, 0.00531684, 0.01597698, 0.00195830
18, 0.65314888, 0.00633710, 0.01518322, 0.00275706
19, 0.65136474, 0.00373243, 0.01626617, 0.00101274
20, 0.65144054, 0.00368070, 0.01603564, 0.00115649
21, 0.65147420, 0.00342088, 0.01490883, 0.00089618
22, 0.65141839, 0.00312270, 0.01360255, 0.00087827
23, 0.65069655, 0.00009318, 0.00017854, 0.00021461
24, 0.65090952, 0.00105939, 0.00459447, 0.00044832
25, 0.65047989, 0.00006463, 0.00014606, 0.00012074
26, 0.65052921, 0.00006296, 0.00013179, 0.00010329
27, 0.65032099, 0.00012208, 0.00020815, 0.00018882
28, 0.65318971, 0.00010961, 0.00023623, 0.00019889
29, 0.90066980, 0.00366457, 0.01582719, 0.00153779
