qubit, time(s), standardDev, maxDelta, minDelta
0, 0.22106296, 0.00027202, 0.00064415, 0.00035912
1, 0.23822463, 0.00028219, 0.00029433, 0.00055563
2, 0.23731295, 0.00028582, 0.00043806, 0.00073687
3, 0.23703334, 0.00047517, 0.00057485, 0.00079534
4, 0.23743784, 0.00052398, 0.00061119, 0.00071681
5, 0.23480792, 0.00027840, 0.00044112, 0.00036879
6, 0.23559078, 0.00043372, 0.00054137, 0.00068077
7, 0.24299026, 0.00042175, 0.00049663, 0.00091028
8, 0.23967881, 0.00053527, 0.00078516, 0.00057883
9, 0.23065724, 0.00026835, 0.00044665, 0.00045218
10, 0.22989302, 0.00023022, 0.00021691, 0.00040703
11, 0.22959855, 0.00022162, 0.00069759, 0.00017550
12, 0.23053387, 0.00057672, 0.00073906, 0.00081877
13, 0.22883179, 0.00025548, 0.00049016, 0.00026562
14, 0.22916200, 0.00021819, 0.00023696, 0.00046303
15, 0.22923541, 0.00034513, 0.00045872, 0.00063229
16, 0.22930559, 0.00040221, 0.00078336, 0.00045666
17, 0.22944390, 0.00031658, 0.00053514, 0.00059472
18, 0.22928699, 0.00037584, 0.00060908, 0.00036486
19, 0.22955348, 0.00027141, 0.00026939, 0.00050452
20, 0.22915366, 0.00023451, 0.00065539, 0.00020673
21, 0.22912400, 0.00007336, 0.00023706, 0.00011699
22, 0.22942250, 0.00034067, 0.00060446, 0.00034945
23, 0.22984195, 0.00023979, 0.00026608, 0.00065804
24, 0.22990631, 0.00036196, 0.00066091, 0.00072740
25, 0.22927815, 0.00030301, 0.00128788, 0.00013000
26, 0.22995400, 0.00070669, 0.00156403, 0.00053501
27, 0.23078121, 0.00008633, 0.00022494, 0.00019611
28, 0.22391655, 0.01093230, 0.04764245, 0.00276043
