qubit, time(s), standardDev, maxDelta, minDelta
0, 0.45047734, 0.00028100, 0.00039771, 0.00075147
1, 0.49190936, 0.00044384, 0.00082269, 0.00108442
2, 0.48340057, 0.00026842, 0.00036432, 0.00082039
3, 0.48356445, 0.00042998, 0.00096958, 0.00070341
4, 0.48425926, 0.00030507, 0.00034987, 0.00079931
5, 0.48556889, 0.00041777, 0.00151907, 0.00066890
6, 0.48040835, 0.00042031, 0.00110778, 0.00084749
7, 0.49445258, 0.00033373, 0.00075449, 0.00053250
8, 0.48863987, 0.00047457, 0.00139495, 0.00069288
9, 0.48398043, 0.01499189, 0.04810952, 0.00629545
10, 0.46935421, 0.00061831, 0.00182074, 0.00080734
11, 0.46856506, 0.00035745, 0.00059407, 0.00082929
12, 0.46989743, 0.00060536, 0.00226148, 0.00084153
13, 0.46697959, 0.00054339, 0.00151531, 0.00131663
14, 0.46723825, 0.00041890, 0.00144786, 0.00062233
15, 0.46771052, 0.00040867, 0.00074337, 0.00063660
16, 0.46809812, 0.00058225, 0.00196986, 0.00113721
17, 0.46818107, 0.00026016, 0.00066882, 0.00044507
18, 0.46835537, 0.00028341, 0.00063853, 0.00061340
19, 0.46837103, 0.00036139, 0.00108898, 0.00066602
20, 0.46810960, 0.00017603, 0.00042344, 0.00029658
21, 0.46829516, 0.00057855, 0.00157589, 0.00097400
22, 0.46812603, 0.00042627, 0.00072196, 0.00087616
23, 0.46831065, 0.00048255, 0.00089854, 0.00105983
24, 0.49042374, 0.04529121, 0.15830630, 0.02320176
25, 0.46869751, 0.00053480, 0.00084642, 0.00101944
26, 0.47027769, 0.00101363, 0.00127420, 0.00226655
27, 0.47196814, 0.00084724, 0.00145487, 0.00132819
28, 0.47211419, 0.00077793, 0.00142683, 0.00117408
29, 0.45619013, 0.02071840, 0.09028790, 0.00512722
30, 6.03762815, 0.76795286, 3.10068204, 0.52409503
31, 6.11097494, 0.24657962, 0.71623501, 0.37300006
32, 6.31255918, 0.34168522, 1.19442887, 0.36987309
33, 6.48559780, 0.69152979, 2.85182409, 0.44827981
34, 6.59652401, 0.77319638, 2.66783093, 0.55298902
35, 6.63134378, 0.73096285, 2.87714201, 0.57598776
36, 6.79591682, 0.83567445, 2.68728206, 0.60582592
