qubit, time(s), standardDev, maxDelta, minDelta
0, 0.21887408, 0.00027650, 0.00052680, 0.00055515
1, 0.21814259, 0.00023181, 0.00040141, 0.00049647
2, 0.21737903, 0.00019619, 0.00034004, 0.00036901
3, 0.21774703, 0.00020472, 0.00032610, 0.00045806
4, 0.21796484, 0.00020226, 0.00056129, 0.00036068
5, 0.21846675, 0.00016783, 0.00026513, 0.00031756
6, 0.21954352, 0.00017909, 0.00039238, 0.00032645
7, 0.22171485, 0.00015706, 0.00025403, 0.00023496
8, 0.22123041, 0.00012854, 0.00027761, 0.00031223
9, 0.21760640, 0.00036653, 0.00139465, 0.00041327
10, 0.21817063, 0.00020877, 0.00031520, 0.00034951
11, 0.21870362, 0.00014489, 0.00025047, 0.00031458
12, 0.21860744, 0.00019860, 0.00038837, 0.00030137
13, 0.21816742, 0.00022294, 0.00046861, 0.00057042
14, 0.21961257, 0.00029251, 0.00058033, 0.00055645
15, 0.22023374, 0.00021524, 0.00038213, 0.00033981
16, 0.21865201, 0.00022884, 0.00036597, 0.00051904
17, 0.21887560, 0.00019697, 0.00039940, 0.00034566
18, 0.21881765, 0.00021703, 0.00037533, 0.00044960
19, 0.21884577, 0.00023901, 0.00056727, 0.00026386
20, 0.21930326, 0.00038518, 0.00114785, 0.00038327
21, 0.21948197, 0.00032363, 0.00066683, 0.00042393
22, 0.21938528, 0.00026705, 0.00071465, 0.00047625
23, 0.21894214, 0.00036825, 0.00142171, 0.00028727
24, 0.21926389, 0.00041716, 0.00166693, 0.00041184
25, 0.21909833, 0.00014882, 0.00029564, 0.00027919
26, 0.21991435, 0.00042634, 0.00152477, 0.00043837
27, 1.40912721, 0.01413518, 0.02677681, 0.02287409
28, 3.07443801, 0.11907815, 0.23391804, 0.24124614
