qubit, time(s), standardDev, maxDelta, minDelta
0, 0.05654465, 0.00032185, 0.00105633, 0.00025784
1, 0.06070626, 0.00019490, 0.00060880, 0.00032818
2, 0.06070430, 0.00031891, 0.00112193, 0.00026329
3, 0.05964224, 0.00005299, 0.00009854, 0.00015919
4, 0.05983119, 0.00005698, 0.00020189, 0.00005727
5, 0.05999365, 0.00012739, 0.00044928, 0.00009170
6, 0.06023111, 0.00022598, 0.00094304, 0.00013199
7, 0.06120063, 0.00018060, 0.00066541, 0.00017859
8, 0.06039306, 0.00013488, 0.00038484, 0.00012609
9, 0.05906020, 0.00012167, 0.00047482, 0.00010120
10, 0.05882992, 0.00025854, 0.00110112, 0.00012482
11, 0.05898803, 0.00084108, 0.00355512, 0.00037116
12, 0.05906885, 0.00048725, 0.00192626, 0.00031893
13, 0.05860034, 0.00026544, 0.00108465, 0.00012938
14, 0.05867662, 0.00027715, 0.00116644, 0.00023665
15, 0.05856770, 0.00003678, 0.00009948, 0.00005978
16, 0.05865347, 0.00014455, 0.00045359, 0.00014961
17, 0.05868909, 0.00015649, 0.00053384, 0.00015209
18, 0.05888137, 0.00028653, 0.00107852, 0.00027546
19, 0.05892464, 0.00033153, 0.00098947, 0.00039574
20, 0.05904757, 0.00035227, 0.00088347, 0.00043260
21, 0.05873830, 0.00017897, 0.00051777, 0.00021632
22, 0.05897101, 0.00046612, 0.00135795, 0.00046595
23, 0.05884169, 0.00018255, 0.00053931, 0.00019859
24, 0.05875548, 0.00017022, 0.00063745, 0.00015243
25, 0.05889566, 0.00010830, 0.00036423, 0.00014646
26, 0.05700341, 0.00270218, 0.01177057, 0.00074927
27, 0.57503421, 0.04092436, 0.08898871, 0.05953820
28, 0.63564285, 0.03615338, 0.07852308, 0.05644974
29, 0.61292126, 0.01766778, 0.04074881, 0.02590826
30, 0.79743989, 0.48604233, 1.93505805, 0.20449383
31, 0.63537177, 0.02576844, 0.07923237, 0.03664478
32, 0.66237680, 0.05671707, 0.22077712, 0.06771580
