qubit, time(s), standardDev, maxDelta, minDelta
0, 0.31685538, 0.00487163, 0.01638250, 0.00194640
1, 0.35001291, 0.00052980, 0.00203120, 0.00038899
2, 0.34206201, 0.00462691, 0.01363801, 0.00204207
3, 0.33995556, 0.00057047, 0.00216438, 0.00024866
4, 0.34170046, 0.00185383, 0.00580750, 0.00097361
5, 0.33754911, 0.00310729, 0.01353178, 0.00080934
6, 0.33919700, 0.00027927, 0.00119320, 0.00019106
7, 0.35397404, 0.00007909, 0.00009876, 0.00026315
8, 0.34656513, 0.00002733, 0.00004280, 0.00006020
9, 0.33418410, 0.00047616, 0.00168998, 0.00039117
10, 0.32718420, 0.00142388, 0.00583386, 0.00053811
11, 0.32597760, 0.00010733, 0.00042721, 0.00009063
12, 0.32646022, 0.00345890, 0.01507368, 0.00092826
13, 0.33192894, 0.00049176, 0.00169995, 0.00033400
14, 0.33281569, 0.00178580, 0.00772829, 0.00068979
15, 0.33354884, 0.00196691, 0.00690597, 0.00080377
16, 0.33269622, 0.00321635, 0.01401184, 0.00097921
17, 0.33276520, 0.00414736, 0.01806083, 0.00113115
18, 0.33623266, 0.00636294, 0.01443744, 0.00425768
19, 0.33344777, 0.00471432, 0.01429217, 0.00173671
20, 0.33237951, 0.00404191, 0.01761038, 0.00108545
21, 0.32985086, 0.00029498, 0.00125318, 0.00015588
22, 0.33081298, 0.00377824, 0.01646514, 0.00104194
23, 0.33136321, 0.00506988, 0.01597880, 0.00185825
24, 0.32983723, 0.00049694, 0.00210676, 0.00029721
25, 0.41635650, 0.00033219, 0.00106841, 0.00052351
26, 0.50616828, 0.00030639, 0.00063380, 0.00065128
27, 0.56630929, 0.00031729, 0.00072758, 0.00057228
28, 0.58330586, 0.00030711, 0.00060008, 0.00054076
29, 4.94297113, 0.04936051, 0.11913667, 0.15933814
30, 12.57796319, 0.73241705, 0.96650593, 1.89493830
31, 12.99092587, 0.81646680, 1.78122107, 1.23139890
32, 26.74883169, 0.66999169, 1.09750539, 1.34827250
33, 37.97022706, 0.90845189, 1.28529590, 2.25883609
34, 45.10189025, 1.13108693, 2.19073255, 2.28430145
