qubit, time(s), standardDev, maxDelta, minDelta
0, 0.67054583, 0.00097627, 0.00193118, 0.00099994
1, 0.73078450, 0.00036153, 0.00121347, 0.00026163
2, 0.72130769, 0.00009512, 0.00018531, 0.00019068
3, 0.72161946, 0.00040458, 0.00154653, 0.00025568
4, 0.72175242, 0.00077258, 0.00106167, 0.00115944
5, 0.72246065, 0.00068680, 0.00209651, 0.00042071
6, 0.71671641, 0.00082401, 0.00169361, 0.00072539
7, 0.73714073, 0.00077444, 0.00172226, 0.00081284
8, 0.72642252, 0.00065451, 0.00124433, 0.00074146
9, 0.71090822, 0.00047138, 0.00156684, 0.00027924
10, 0.69959871, 0.00080121, 0.00189337, 0.00063268
11, 0.69880161, 0.00084587, 0.00186434, 0.00059471
12, 0.70020540, 0.00117074, 0.00168078, 0.00141032
13, 0.69689242, 0.00068034, 0.00222644, 0.00036327
14, 0.69705426, 0.00061777, 0.00158371, 0.00038229
15, 0.69662837, 0.00063415, 0.00186273, 0.00045232
16, 0.69793779, 0.00100578, 0.00222319, 0.00069696
17, 0.69746803, 0.00049472, 0.00115205, 0.00043582
18, 0.69786183, 0.00064102, 0.00239524, 0.00041667
19, 0.69798951, 0.00060670, 0.00168939, 0.00052862
20, 0.69779509, 0.00038663, 0.00112802, 0.00030416
21, 0.69809855, 0.00059873, 0.00239240, 0.00033344
22, 0.69797891, 0.00043815, 0.00117522, 0.00032300
23, 0.69814188, 0.00056011, 0.00173609, 0.00045593
24, 0.69856666, 0.00094872, 0.00215126, 0.00088857
25, 0.69808125, 0.00009253, 0.00019574, 0.00015521
26, 0.69971510, 0.00216911, 0.00736097, 0.00157615
27, 0.70053031, 0.00143402, 0.00496266, 0.00124838
28, 0.70053684, 0.00114668, 0.00336803, 0.00099002
29, 0.67155275, 0.00318924, 0.01140728, 0.00157795
30, 4.51702658, 0.02636426, 0.09894260, 0.02363673
