qubit, time(s), standardDev, maxDelta, minDelta
0, 0.44792916, 0.00041187, 0.00123595, 0.00047494
1, 0.48231484, 0.00017178, 0.00048422, 0.00024582
2, 0.48183098, 0.00007577, 0.00013194, 0.00012197
3, 0.48122836, 0.00051528, 0.00109671, 0.00078036
4, 0.48221927, 0.00062390, 0.00119085, 0.00059729
5, 0.47720115, 0.00021205, 0.00063975, 0.00021117
6, 0.47862526, 0.00009579, 0.00021676, 0.00019523
7, 0.49273041, 0.00061229, 0.00103256, 0.00080041
8, 0.48611708, 0.00053280, 0.00115495, 0.00062604
9, 0.46924189, 0.00025985, 0.00060316, 0.00023893
10, 0.46781467, 0.00015161, 0.00049115, 0.00016259
11, 0.46708142, 0.00062032, 0.00156153, 0.00048934
12, 0.46726844, 0.00028121, 0.00051858, 0.00031850
13, 0.46555274, 0.00037559, 0.00150735, 0.00028770
14, 0.46561052, 0.00011631, 0.00027751, 0.00014855
15, 0.46522155, 0.00007587, 0.00011549, 0.00013556
16, 0.46594378, 0.00017444, 0.00067333, 0.00012680
17, 0.46621885, 0.00026812, 0.00085411, 0.00020089
18, 0.46599253, 0.00006227, 0.00015846, 0.00008448
19, 0.46643440, 0.00026313, 0.00064667, 0.00029556
20, 0.46626472, 0.00015054, 0.00041318, 0.00016379
21, 0.46653415, 0.00021306, 0.00065469, 0.00022508
22, 0.46642250, 0.00026543, 0.00102645, 0.00018066
23, 0.46627659, 0.00011294, 0.00033742, 0.00015658
24, 0.46667222, 0.00037223, 0.00082680, 0.00047330
25, 0.46661135, 0.00008245, 0.00010756, 0.00017353
26, 0.46592139, 0.00068931, 0.00099946, 0.00089835
27, 0.46841922, 0.00057554, 0.00126491, 0.00054827
28, 0.44824718, 0.00018624, 0.00049163, 0.00024318
29, 2.16429641, 0.00886403, 0.03033063, 0.01105144
