qubit, time(s), standardDev, maxDelta, minDelta
0, 0.44790722, 0.00045168, 0.00046872, 0.00097514
1, 0.48987236, 0.00064874, 0.00100670, 0.00087442
2, 0.48234698, 0.00032163, 0.00069503, 0.00067588
3, 0.48250496, 0.00049513, 0.00065792, 0.00075305
4, 0.48305990, 0.00044339, 0.00057315, 0.00085307
5, 0.48410025, 0.00047795, 0.00066481, 0.00082030
6, 0.47884905, 0.00056276, 0.00091517, 0.00092995
7, 0.49225353, 0.00050264, 0.00080944, 0.00091456
8, 0.48641422, 0.00039709, 0.00048993, 0.00092223
9, 0.47669179, 0.00047163, 0.00065725, 0.00091488
10, 0.46762671, 0.00033378, 0.00045738, 0.00077572
11, 0.46708431, 0.00065645, 0.00202785, 0.00098624
12, 0.46779958, 0.00085186, 0.00164541, 0.00102059
13, 0.46576382, 0.00049443, 0.00051330, 0.00092579
14, 0.46573331, 0.00056935, 0.00053666, 0.00108030
15, 0.46586062, 0.00037118, 0.00068640, 0.00071169
16, 0.46638072, 0.00055232, 0.00071418, 0.00112069
17, 0.46624203, 0.00050951, 0.00073700, 0.00106115
18, 0.46651080, 0.00055003, 0.00085828, 0.00096681
19, 0.46669054, 0.00063154, 0.00071335, 0.00110149
20, 0.46668974, 0.00049868, 0.00057729, 0.00107280
21, 0.46660956, 0.00047994, 0.00073138, 0.00089868
22, 0.46677541, 0.00041745, 0.00058748, 0.00063442
23, 0.46879972, 0.00576173, 0.01934110, 0.00304688
24, 0.46678773, 0.00054289, 0.00103339, 0.00084678
25, 0.46690688, 0.00052315, 0.00122705, 0.00089297
26, 0.46765448, 0.00081631, 0.00203942, 0.00130535
27, 0.46952815, 0.00063560, 0.00183969, 0.00106330
28, 0.47150329, 0.00545518, 0.02122661, 0.00272731
29, 0.45478439, 0.01741454, 0.07532859, 0.00560236
30, 5.54332005, 0.57606767, 2.49373401, 0.23066126
31, 5.90004469, 0.11590938, 0.18382334, 0.20676972
32, 6.17626657, 0.66725550, 2.82430944, 0.42531457
33, 6.21219634, 0.21630062, 0.72498776, 0.33975838
