threadsPerRank, ranks, time(s), standardDev, maxDelta, minDelta, speedup
16, 32, 1142.96749099, 26.41387789, 28.82557289, 34.98835882, 1
16, 64, 1151.23666167, 29.06053674, 41.05445337, 22.16157269, 0.99
