qubit, time(s), standardDev, maxDelta, minDelta
0, 0.02799475, 0.00004422, 0.00009215, 0.00008881
1, 0.03012638, 0.00004056, 0.00011868, 0.00005441
2, 0.02959870, 0.00002995, 0.00009228, 0.00004672
3, 0.02969240, 0.00003687, 0.00008465, 0.00004839
4, 0.02948970, 0.00011238, 0.00048429, 0.00005287
5, 0.02996964, 0.00003216, 0.00005417, 0.00006981
6, 0.02951418, 0.00021041, 0.00064481, 0.00010406
7, 0.03074733, 0.00033638, 0.00123652, 0.00019733
8, 0.03027103, 0.00015509, 0.00053098, 0.00015900
9, 0.02952386, 0.00012788, 0.00037907, 0.00007893
10, 0.02935488, 0.00003878, 0.00005929, 0.00007470
11, 0.02926635, 0.00001487, 0.00002862, 0.00002526
12, 0.02938191, 0.00004024, 0.00005921, 0.00009600
13, 0.02928879, 0.00004969, 0.00010798, 0.00007894
14, 0.02921767, 0.00003201, 0.00007038, 0.00007362
15, 0.02922983, 0.00002797, 0.00007324, 0.00004168
16, 0.02923468, 0.00005654, 0.00021049, 0.00005869
17, 0.02927743, 0.00007052, 0.00015868, 0.00008641
18, 0.02928585, 0.00006552, 0.00018722, 0.00007385
19, 0.02926661, 0.00001752, 0.00002741, 0.00002862
20, 0.02925714, 0.00001587, 0.00003186, 0.00002917
21, 0.02928315, 0.00005647, 0.00020183, 0.00005113
22, 0.02936605, 0.00011774, 0.00030085, 0.00011805
23, 0.02939630, 0.00018161, 0.00054884, 0.00011015
24, 0.02928967, 0.00005421, 0.00021343, 0.00005670
25, 0.02839603, 0.00121179, 0.00527487, 0.00032105
26, 0.23480009, 0.01656595, 0.06466891, 0.00811599
27, 0.24258010, 0.01506522, 0.02941401, 0.01513307
28, 0.28112774, 0.01863846, 0.04010625, 0.02040391
