qubit, time(s), standardDev, maxDelta, minDelta
0, 0.73969887, 0.15616149, 0.43867017, 0.06604384
1, 0.73511074, 0.00128917, 0.00212243, 0.00222871
2, 0.72442676, 0.00105674, 0.00284337, 0.00141455
3, 0.72504195, 0.00353909, 0.01427904, 0.00216707
4, 0.72468220, 0.00101357, 0.00198091, 0.00122820
5, 0.72560524, 0.00114913, 0.00256873, 0.00194930
6, 0.71887863, 0.00076220, 0.00131524, 0.00095570
7, 0.74035785, 0.00066513, 0.00095799, 0.00114391
8, 0.73085817, 0.00087481, 0.00175778, 0.00162014
9, 0.71309670, 0.00064302, 0.00101129, 0.00156554
10, 0.70185542, 0.00124762, 0.00239849, 0.00118232
11, 0.70094774, 0.00088378, 0.00175741, 0.00085685
12, 0.70220261, 0.00128739, 0.00162239, 0.00159769
13, 0.70045350, 0.00566263, 0.02210357, 0.00231764
14, 0.69884845, 0.00060376, 0.00138668, 0.00055429
15, 0.69996586, 0.00116741, 0.00241408, 0.00160184
16, 0.70012554, 0.00081670, 0.00267354, 0.00076851
17, 0.69985989, 0.00084995, 0.00153204, 0.00086979
18, 0.70123810, 0.00083628, 0.00300294, 0.00087899
19, 0.70036749, 0.00085175, 0.00198647, 0.00082830
20, 0.70083638, 0.00129272, 0.00332955, 0.00151726
21, 0.70043998, 0.00087904, 0.00180192, 0.00092082
22, 0.70051963, 0.00091999, 0.00227635, 0.00098069
23, 0.70533557, 0.01220030, 0.04532843, 0.00570364
24, 0.70080378, 0.00102417, 0.00264022, 0.00112393
25, 0.70094908, 0.00101527, 0.00161182, 0.00111498
26, 0.70143843, 0.00102155, 0.00193763, 0.00144434
27, 0.70504984, 0.00233331, 0.00513927, 0.00251683
28, 0.70469433, 0.00081617, 0.00324363, 0.00035220
29, 0.67814503, 0.00541075, 0.01951995, 0.00287709
30, 5.83237317, 0.62875172, 2.63079593, 0.40705016
31, 6.16997075, 0.50196284, 2.00208426, 0.51522183
32, 6.47390096, 0.48781462, 2.05120499, 0.41715686
33, 6.45265659, 0.30084321, 1.10395948, 0.43497761
