qubit, time(s), standardDev, maxDelta, minDelta
0, 0.43812991, 0.00062768, 0.00162505, 0.00063707
1, 0.47331065, 0.00036681, 0.00144035, 0.00031251
2, 0.47192359, 0.00016885, 0.00041723, 0.00026774
3, 0.47221776, 0.00035549, 0.00143722, 0.00030061
4, 0.47205886, 0.00026016, 0.00100509, 0.00029191
5, 0.46722829, 0.00058137, 0.00158179, 0.00048029
6, 0.46913190, 0.00053845, 0.00134425, 0.00058885
7, 0.48295143, 0.00053582, 0.00155447, 0.00056460
8, 0.47619653, 0.00054140, 0.00122142, 0.00065351
9, 0.45915759, 0.00040476, 0.00157154, 0.00029552
10, 0.45729961, 0.00053219, 0.00151334, 0.00040069
11, 0.45725170, 0.00050375, 0.00169214, 0.00031677
12, 0.45787233, 0.00018041, 0.00037962, 0.00021333
13, 0.45569850, 0.00054289, 0.00175046, 0.00035549
14, 0.45577631, 0.00028923, 0.00103869, 0.00027928
15, 0.45521505, 0.00011733, 0.00039189, 0.00012310
16, 0.45629921, 0.00048182, 0.00171695, 0.00027122
17, 0.45610354, 0.00032748, 0.00121763, 0.00029061
18, 0.45608704, 0.00044446, 0.00154502, 0.00026505
19, 0.45632856, 0.00032655, 0.00104840, 0.00026052
20, 0.45607190, 0.00011212, 0.00029416, 0.00018888
21, 0.45639914, 0.00010451, 0.00014573, 0.00020307
22, 0.45674751, 0.00062624, 0.00156143, 0.00051234
23, 0.45627571, 0.00012616, 0.00037335, 0.00021673
24, 0.45657090, 0.00042353, 0.00125715, 0.00031999
25, 0.45703599, 0.00064580, 0.00156190, 0.00050709
26, 0.45683154, 0.00008912, 0.00023333, 0.00012645
27, 0.45809985, 0.00008448, 0.00020097, 0.00014282
28, 0.43813194, 0.00038195, 0.00129520, 0.00040807
