qubit, time(s), standardDev, maxDelta, minDelta
0, 2.79625540, 0.00114088, 0.00436969, 0.00113635
1, 3.16433630, 0.00042219, 0.00082078, 0.00083241
2, 3.12010226, 0.00054639, 0.00203266, 0.00075827
3, 3.07727292, 0.00102669, 0.00412796, 0.00111487
4, 3.06607791, 0.00026263, 0.00063113, 0.00045677
5, 3.05371556, 0.00023541, 0.00041142, 0.00047550
6, 3.07055322, 0.00027674, 0.00057086, 0.00043718
7, 3.14904587, 0.00336060, 0.01461203, 0.00129478
8, 3.10357769, 0.00026752, 0.00065439, 0.00048859
9, 2.99362745, 0.00038667, 0.00074253, 0.00060143
10, 2.94068218, 0.00014582, 0.00034784, 0.00030519
11, 2.90363345, 0.00012441, 0.00025954, 0.00024662
12, 2.90438277, 0.00061147, 0.00247735, 0.00062972
13, 2.94554338, 0.00071814, 0.00226154, 0.00086651
14, 2.94330139, 0.00096240, 0.00214772, 0.00116534
15, 2.89992404, 0.00056517, 0.00095797, 0.00083017
16, 2.89997306, 0.00082938, 0.00321994, 0.00100007
17, 2.89942781, 0.00200595, 0.00819811, 0.00150386
18, 2.90084584, 0.01029007, 0.04444211, 0.00401385
19, 2.89767658, 0.00146788, 0.00319947, 0.00206267
20, 2.89789187, 0.00141658, 0.00250329, 0.00148379
21, 2.89792091, 0.00096571, 0.00163907, 0.00116378
22, 2.89687214, 0.00064294, 0.00132980, 0.00138412
23, 2.89919575, 0.00506876, 0.02173439, 0.00208672
24, 2.89826226, 0.00092325, 0.00154281, 0.00115824
25, 2.89770550, 0.00030584, 0.00044543, 0.00055236
26, 2.89755982, 0.00038634, 0.00060230, 0.00081080
27, 2.89792576, 0.00047667, 0.00094233, 0.00118771
28, 2.92390661, 0.00988503, 0.04305835, 0.00288253
29, 2.92137816, 0.00016585, 0.00038979, 0.00029233
30, 2.92212033, 0.00038004, 0.00079751, 0.00062227
31, 2.92279925, 0.00024756, 0.00050983, 0.00040927
32, 5.41103483, 0.00142435, 0.00241827, 0.00326062
33, 10.49896162, 0.00372576, 0.00751336, 0.00672858
34, 12.83739656, 0.00408275, 0.01074725, 0.00538844
