qubit, time(s), standardDev, maxDelta, minDelta
0, 0.46486241, 0.02506545, 0.06365341, 0.01577455
1, 0.49080861, 0.00038825, 0.00070250, 0.00076354
2, 0.48579859, 0.01128129, 0.04810334, 0.00351642
3, 0.48274385, 0.00037112, 0.00126017, 0.00061475
4, 0.48383234, 0.00039301, 0.00061467, 0.00069449
5, 0.48473504, 0.00037793, 0.00088999, 0.00053694
6, 0.47964419, 0.00037542, 0.00070797, 0.00047220
7, 0.49398727, 0.00047420, 0.00116472, 0.00066919
8, 0.48728507, 0.00033573, 0.00066597, 0.00069396
9, 0.47741915, 0.00029666, 0.00038480, 0.00072719
10, 0.46862751, 0.00048062, 0.00124449, 0.00061136
11, 0.46786245, 0.00052561, 0.00166551, 0.00054129
12, 0.46901082, 0.00047914, 0.00062824, 0.00146388
13, 0.46640053, 0.00032455, 0.00064955, 0.00056639
14, 0.46675712, 0.00048791, 0.00103492, 0.00056201
15, 0.48311378, 0.03344993, 0.09561609, 0.01720191
16, 0.46711104, 0.00037009, 0.00066001, 0.00070398
17, 0.46731880, 0.00051193, 0.00180933, 0.00040867
18, 0.46729746, 0.00038478, 0.00092540, 0.00093856
19, 0.46723415, 0.00032963, 0.00075387, 0.00060321
20, 0.46736814, 0.00033179, 0.00059699, 0.00070430
21, 0.46753662, 0.00021345, 0.00059040, 0.00035183
22, 0.46754951, 0.00043829, 0.00146632, 0.00056262
23, 0.46719863, 0.00032127, 0.00047038, 0.00095370
24, 0.46752040, 0.00051026, 0.00158746, 0.00085347
25, 0.46778505, 0.00039797, 0.00064809, 0.00063007
26, 0.46863754, 0.00083286, 0.00170748, 0.00094254
27, 0.47069515, 0.00053143, 0.00097667, 0.00065626
28, 0.47111443, 0.00065718, 0.00129553, 0.00090936
29, 0.45510316, 0.01889056, 0.08233690, 0.00458717
30, 6.05651035, 0.63117915, 2.67645059, 0.30660834
31, 6.19963539, 0.66633227, 2.87051165, 0.35238349
32, 6.56148156, 0.37510384, 1.35330931, 0.30088147
33, 6.65123785, 0.62481200, 2.67775023, 0.45282996
34, 6.62230597, 0.68500378, 2.95911827, 0.30235896
35, 6.29705273, 0.49369559, 2.10043420, 0.35409366
