qubit, time(s), standardDev, maxDelta, minDelta
0, 0.01486306, 0.00288360, 0.01256008, 0.00075703
1, 0.01506382, 0.00014399, 0.00037211, 0.00014883
2, 0.01500678, 0.00011344, 0.00033116, 0.00013065
3, 0.01494060, 0.00003654, 0.00012722, 0.00003967
4, 0.01483660, 0.00003215, 0.00007935, 0.00004344
5, 0.01488168, 0.00002428, 0.00004737, 0.00005372
6, 0.01479234, 0.00003644, 0.00011359, 0.00006546
7, 0.01549028, 0.00031145, 0.00134660, 0.00012707
8, 0.01524826, 0.00011856, 0.00044779, 0.00007626
9, 0.01489950, 0.00025077, 0.00064133, 0.00012733
10, 0.01476945, 0.00013338, 0.00056945, 0.00006951
11, 0.01488446, 0.00040062, 0.00144769, 0.00019239
12, 0.01486521, 0.00022692, 0.00064368, 0.00014024
13, 0.01479931, 0.00017872, 0.00075274, 0.00010319
14, 0.01471707, 0.00009609, 0.00031403, 0.00007197
15, 0.01472244, 0.00003967, 0.00014653, 0.00004349
16, 0.01483912, 0.00028701, 0.00102596, 0.00019617
17, 0.01471678, 0.00008322, 0.00022539, 0.00007001
18, 0.01471391, 0.00004117, 0.00015602, 0.00004687
19, 0.01470845, 0.00003984, 0.00013359, 0.00004261
20, 0.01471001, 0.00001767, 0.00004309, 0.00002795
21, 0.01476597, 0.00002261, 0.00004317, 0.00003504
22, 0.01477630, 0.00003357, 0.00008671, 0.00005848
23, 0.01477510, 0.00002410, 0.00003189, 0.00004607
24, 0.01431444, 0.00068690, 0.00298665, 0.00020745
25, 0.12490798, 0.00570199, 0.01730989, 0.00598003
26, 0.12599564, 0.00160703, 0.00313234, 0.00216055
27, 0.13552140, 0.01060145, 0.02253867, 0.01112341
28, 0.13126003, 0.00770950, 0.02788390, 0.00555598
