qubit, time(s), standardDev, maxDelta, minDelta
0, 0.44821244, 0.00031097, 0.00087446, 0.00048333
1, 0.48997663, 0.00105129, 0.00102545, 0.00202655
2, 0.48217628, 0.00049998, 0.00053980, 0.00104735
3, 0.48245859, 0.00041431, 0.00127149, 0.00079966
4, 0.48331512, 0.00039213, 0.00065886, 0.00121130
5, 0.48430525, 0.00043292, 0.00046076, 0.00111710
6, 0.47939373, 0.00057712, 0.00112532, 0.00100280
7, 0.49242921, 0.00032638, 0.00056367, 0.00060625
8, 0.48662347, 0.00037275, 0.00055748, 0.00080436
9, 0.47718987, 0.00013776, 0.00021400, 0.00026593
10, 0.46805550, 0.00033624, 0.00025533, 0.00121452
11, 0.46726426, 0.00036815, 0.00040475, 0.00121626
12, 0.46825744, 0.00072562, 0.00066351, 0.00187446
13, 0.46590941, 0.00042821, 0.00041754, 0.00098245
14, 0.46593618, 0.00045517, 0.00062585, 0.00104713
15, 0.46603613, 0.00042731, 0.00052495, 0.00100307
16, 0.46658623, 0.00032006, 0.00049961, 0.00074017
17, 0.46675557, 0.00086157, 0.00159937, 0.00189561
18, 0.46693863, 0.00027245, 0.00024830, 0.00087560
19, 0.46692085, 0.00036635, 0.00040936, 0.00121903
20, 0.46704341, 0.00033719, 0.00032662, 0.00085450
21, 0.46732309, 0.00040877, 0.00052283, 0.00116112
22, 0.46742164, 0.00037178, 0.00107731, 0.00045382
23, 0.46738440, 0.00033002, 0.00023669, 0.00132042
24, 0.46718329, 0.00033846, 0.00078160, 0.00072950
25, 0.46726253, 0.00036623, 0.00129936, 0.00060155
26, 0.46703787, 0.00042884, 0.00097518, 0.00081797
27, 0.46940266, 0.00101282, 0.00235547, 0.00110756
28, 0.46967986, 0.00079279, 0.00249312, 0.00080683
29, 0.45362921, 0.01690475, 0.07362394, 0.00467820
30, 4.75632261, 0.07998298, 0.21964647, 0.08629369
