qubit, time(s), standardDev, maxDelta, minDelta
0, 0.05630449, 0.00014724, 0.00050756, 0.00018958
1, 0.06052908, 0.00003532, 0.00007502, 0.00006422
2, 0.06031497, 0.00003706, 0.00006120, 0.00006397
3, 0.05953845, 0.00002803, 0.00005356, 0.00004562
4, 0.05965208, 0.00004449, 0.00006582, 0.00012301
5, 0.05985842, 0.00004621, 0.00007143, 0.00012431
6, 0.05987949, 0.00007085, 0.00025229, 0.00009341
7, 0.06116290, 0.00006963, 0.00012403, 0.00013800
8, 0.06039011, 0.00005145, 0.00009692, 0.00010312
9, 0.05896692, 0.00005428, 0.00009699, 0.00011592
10, 0.05867687, 0.00006304, 0.00009211, 0.00015584
11, 0.05868663, 0.00002603, 0.00003539, 0.00007952
12, 0.05877542, 0.00003091, 0.00006270, 0.00006342
13, 0.05851867, 0.00002227, 0.00004027, 0.00004461
14, 0.05838108, 0.00002882, 0.00007796, 0.00005293
15, 0.05838946, 0.00002609, 0.00006243, 0.00004057
16, 0.05850112, 0.00018726, 0.00047076, 0.00015318
17, 0.05841516, 0.00009715, 0.00036384, 0.00009106
18, 0.05850180, 0.00003967, 0.00010840, 0.00006160
19, 0.05855919, 0.00006536, 0.00015186, 0.00018121
20, 0.05851409, 0.00005772, 0.00012996, 0.00010822
21, 0.05860690, 0.00003502, 0.00006219, 0.00006989
22, 0.05860618, 0.00005792, 0.00010487, 0.00014118
23, 0.05863428, 0.00017350, 0.00030470, 0.00021720
24, 0.05858783, 0.00004571, 0.00006720, 0.00009683
25, 0.05864595, 0.00006483, 0.00021721, 0.00008510
26, 0.05672913, 0.00244935, 0.01067491, 0.00065212
27, 0.44762443, 0.00111853, 0.00290967, 0.00151538
28, 0.47127026, 0.03875064, 0.15365773, 0.02037328
