threadsPerRank, ranks, time(s), standardDev, maxDelta, minDelta, speedup
24, 1, 86.79709490, 0.04025919, 0.03167192, 0.05680998, 1 
24, 4, 43.79724471, 0.78223765, 0.72952541, 1.08496277, 1.98 
24, 16, 15.83217700, 0.32397908, 0.39902703, 0.39451798, 5.48 
