threadsPerRank, ranks, time(s), standardDev, maxDelta, minDelta, speedup
24, 32, 823.39873441, 14.71173757, 20.80015675, 10.80988654, 1 
24, 64, 558.52574706, 5.60474264, 5.67714000, 7.62890100, 1.47 
