qubit, time(s), standardDev, maxDelta, minDelta
0, 0.45296941, 0.00029585, 0.00112453, 0.00030456
1, 0.50816599, 0.04714867, 0.15994891, 0.01682607
2, 0.48478028, 0.00045426, 0.00105456, 0.00067016
3, 0.48464746, 0.00058485, 0.00223260, 0.00043054
4, 0.48556918, 0.00030603, 0.00094897, 0.00070304
5, 0.48623885, 0.00026806, 0.00033723, 0.00100578
6, 0.48151993, 0.00016436, 0.00040008, 0.00021194
7, 0.49809271, 0.00024383, 0.00057143, 0.00037771
8, 0.49096942, 0.00044855, 0.00066972, 0.00092745
9, 0.47883763, 0.00035668, 0.00091038, 0.00050845
10, 0.47000967, 0.00040537, 0.00106133, 0.00043260
11, 0.46951289, 0.00059157, 0.00145106, 0.00052090
12, 0.47051401, 0.00045691, 0.00098901, 0.00062294
13, 0.46772830, 0.00031087, 0.00088985, 0.00026028
14, 0.46767418, 0.00046553, 0.00120885, 0.00033014
15, 0.46818845, 0.00058168, 0.00214465, 0.00058239
16, 0.46852692, 0.00030587, 0.00094596, 0.00032505
17, 0.47606161, 0.02103634, 0.08241341, 0.00779369
18, 0.46896383, 0.00022998, 0.00055603, 0.00036188
19, 0.46868980, 0.00042912, 0.00094926, 0.00042880
20, 0.46857307, 0.00024797, 0.00049307, 0.00031087
21, 0.46983501, 0.00356264, 0.01533488, 0.00134798
22, 0.46911334, 0.00044848, 0.00088979, 0.00065135
23, 0.46911479, 0.00035101, 0.00055717, 0.00068761
24, 0.46882679, 0.00044247, 0.00162241, 0.00041678
25, 0.46939311, 0.00037002, 0.00060382, 0.00065312
26, 0.47017848, 0.00062589, 0.00126255, 0.00107133
27, 0.47214463, 0.00052421, 0.00085518, 0.00074675
28, 0.47275053, 0.00060446, 0.00101246, 0.00058876
29, 0.45842260, 0.02305722, 0.10049945, 0.00588077
30, 6.40430759, 0.65884449, 2.71016647, 0.62818168
31, 6.60520059, 0.45216534, 1.43946928, 0.78840166
32, 6.83242325, 0.75571753, 3.11144491, 0.73835424
33, 6.91244700, 0.42334369, 1.55023119, 0.60171797
34, 6.89579500, 0.27923665, 0.70885907, 0.50315202
35, 7.04578850, 0.38767756, 1.12004735, 0.72890065
36, 6.76160004, 0.37352272, 0.42631099, 0.74905899
37, 6.91052411, 0.57815567, 2.39154890, 0.58228705
