qubit, time(s), standardDev, maxDelta, minDelta
0, 0.54027035, 0.03410304, 0.10344360, 0.02008035
1, 0.56021886, 0.00011957, 0.00022216, 0.00033383
2, 0.54652607, 0.00008196, 0.00014579, 0.00014913
3, 0.54700994, 0.00009423, 0.00014305, 0.00018191
4, 0.54605443, 0.00009493, 0.00015657, 0.00017459
5, 0.54960929, 0.00012943, 0.00027765, 0.00018631
6, 0.54480511, 0.00015755, 0.00029391, 0.00035316
7, 0.57834992, 0.00013839, 0.00027599, 0.00026498
8, 0.56932756, 0.00014417, 0.00032762, 0.00023457
9, 0.53659236, 0.00009019, 0.00013959, 0.00019252
10, 0.52160096, 0.00005169, 0.00007820, 0.00011992
11, 0.52413225, 0.00017095, 0.00034881, 0.00018740
12, 0.52868012, 0.00023489, 0.00050875, 0.00051311
13, 0.53252976, 0.00019071, 0.00039227, 0.00030868
14, 0.52941784, 0.00017100, 0.00035897, 0.00030979
15, 0.52897251, 0.00015551, 0.00045645, 0.00024259
16, 0.52484652, 0.00007938, 0.00017456, 0.00015470
17, 0.52669396, 0.00014042, 0.00026402, 0.00024905
18, 0.52839191, 0.00012220, 0.00024812, 0.00020392
19, 0.52981688, 0.00487207, 0.02071332, 0.00153996
20, 0.52842921, 0.00011163, 0.00019675, 0.00026911
21, 0.52877047, 0.00010835, 0.00023959, 0.00021245
22, 0.52805545, 0.00006946, 0.00016448, 0.00013855
23, 0.52670161, 0.00011737, 0.00023040, 0.00029675
24, 0.52440047, 0.00014644, 0.00033236, 0.00028348
25, 0.52835244, 0.00016818, 0.00027257, 0.00026363
26, 0.53679639, 0.00021235, 0.00032657, 0.00041348
27, 0.52876288, 0.00012584, 0.00027603, 0.00032693
28, 0.55239677, 0.00030654, 0.00082111, 0.00059366
29, 0.54033792, 0.00024808, 0.00044310, 0.00047505
30, 10.61425297, 0.09706537, 0.16771419, 0.16813986
31, 10.78592967, 0.09973970, 0.17735530, 0.26080869
32, 10.49730380, 0.07466119, 0.15684502, 0.16492684
33, 9.52144655, 0.04327776, 0.08791152, 0.06300339
