qubit, time(s), standardDev, maxDelta, minDelta
0, 0.08073733, 0.00186604, 0.00277760, 0.00407836
1, 0.07221755, 0.00378695, 0.00895849, 0.00250753
2, 0.06885091, 0.00005480, 0.00009593, 0.00008980
3, 0.06824460, 0.00004577, 0.00007043, 0.00008073
4, 0.06812416, 0.00005212, 0.00011076, 0.00010000
5, 0.06842154, 0.00006787, 0.00015241, 0.00009960
6, 0.06852401, 0.00005338, 0.00012099, 0.00007905
7, 0.07207148, 0.00006120, 0.00014360, 0.00013940
8, 0.07104366, 0.00007576, 0.00017841, 0.00012462
9, 0.06671852, 0.00003832, 0.00008160, 0.00005549
10, 0.06559284, 0.00021690, 0.00091712, 0.00013788
11, 0.06638237, 0.00005516, 0.00011472, 0.00009843
12, 0.06670747, 0.00006056, 0.00009646, 0.00011048
13, 0.06708961, 0.00008453, 0.00014539, 0.00017076
14, 0.06692262, 0.00007366, 0.00015550, 0.00014753
15, 0.06676662, 0.00007837, 0.00018752, 0.00017464
16, 0.06635865, 0.00005763, 0.00012437, 0.00008663
17, 0.06650529, 0.00004825, 0.00011482, 0.00007424
18, 0.06641214, 0.00005253, 0.00010688, 0.00009506
19, 0.06657894, 0.00006722, 0.00012224, 0.00012596
20, 0.06625370, 0.00004395, 0.00006434, 0.00010089
21, 0.06627449, 0.00003967, 0.00010458, 0.00007828
22, 0.06586688, 0.00006632, 0.00011213, 0.00012677
23, 0.06596025, 0.00003575, 0.00008479, 0.00007542
24, 0.06524273, 0.00004797, 0.00014118, 0.00007483
25, 0.06500664, 0.00003324, 0.00005636, 0.00007954
26, 0.06470689, 0.00004903, 0.00009815, 0.00010093
27, 0.98462063, 0.01072068, 0.01778024, 0.01078683
28, 0.98470752, 0.01443077, 0.02941854, 0.02420657
