qubit, time(s), standardDev, maxDelta, minDelta
0, 0.32930795, 0.00056905, 0.00138601, 0.00062195
1, 0.35553410, 0.00033372, 0.00065682, 0.00039818
2, 0.35454950, 0.00042680, 0.00124946, 0.00038347
3, 0.35324986, 0.00052874, 0.00219719, 0.00028999
4, 0.35406576, 0.00061578, 0.00190629, 0.00037061
5, 0.35099460, 0.00040363, 0.00067638, 0.00046469
6, 0.35204645, 0.00007842, 0.00012759, 0.00014039
7, 0.36144204, 0.00057224, 0.00190692, 0.00056405
8, 0.35697575, 0.00011783, 0.00028830, 0.00021882
9, 0.34469886, 0.00026959, 0.00076609, 0.00019689
10, 0.34309779, 0.00005047, 0.00007833, 0.00014268
11, 0.34325305, 0.00020913, 0.00064596, 0.00017086
12, 0.34369948, 0.00030442, 0.00130246, 0.00016143
13, 0.34204556, 0.00035321, 0.00093530, 0.00018860
14, 0.34208890, 0.00023055, 0.00093488, 0.00013396
15, 0.34189216, 0.00015642, 0.00061091, 0.00011507
16, 0.34263890, 0.00024360, 0.00104315, 0.00012605
17, 0.34253116, 0.00049091, 0.00139790, 0.00029416
18, 0.34274687, 0.00057478, 0.00194918, 0.00036992
19, 0.34265875, 0.00007873, 0.00014116, 0.00015997
20, 0.34276633, 0.00062783, 0.00221248, 0.00033550
21, 0.34282805, 0.00027853, 0.00081991, 0.00026394
22, 0.34262396, 0.00006704, 0.00014113, 0.00009490
23, 0.34295675, 0.00044048, 0.00084618, 0.00041887
24, 0.34284840, 0.00022266, 0.00063958, 0.00020752
25, 0.34301281, 0.00045810, 0.00106525, 0.00034976
26, 0.34222265, 0.00078503, 0.00170354, 0.00063463
27, 0.34490778, 0.00166887, 0.00543211, 0.00167682
28, 0.32987925, 0.00223043, 0.00962261, 0.00084611
