qubit, time(s), standardDev, maxDelta, minDelta
0, 0.73356082, 0.00261682, 0.01129601, 0.00142982
1, 0.76659241, 0.00047358, 0.00167356, 0.00063434
2, 0.74643806, 0.00014891, 0.00023004, 0.00035099
3, 0.74707825, 0.00035502, 0.00071375, 0.00060422
4, 0.74924119, 0.00078932, 0.00337689, 0.00050504
5, 0.75384495, 0.00049933, 0.00124600, 0.00058291
6, 0.76309109, 0.00035475, 0.00092697, 0.00055623
7, 0.82004086, 0.00479425, 0.01562914, 0.00275985
8, 0.79645764, 0.00013761, 0.00035132, 0.00018464
9, 0.74534881, 0.00033017, 0.00064623, 0.00064981
10, 0.73384745, 0.00020218, 0.00030272, 0.00041730
11, 0.73464446, 0.00040689, 0.00161047, 0.00037556
12, 0.73361489, 0.00015676, 0.00032214, 0.00026199
13, 0.74517684, 0.00026410, 0.00074811, 0.00041275
14, 0.74919839, 0.00024561, 0.00064759, 0.00047035
15, 0.74902747, 0.00029105, 0.00068047, 0.00069067
16, 0.74829861, 0.00028019, 0.00041417, 0.00049778
17, 0.74525342, 0.00016848, 0.00036159, 0.00028119
18, 0.74624065, 0.00015978, 0.00027725, 0.00035957
19, 0.74556144, 0.00028775, 0.00061742, 0.00075134
20, 0.74636936, 0.00025718, 0.00052285, 0.00047135
21, 0.74644141, 0.00046406, 0.00137873, 0.00049953
22, 0.74676895, 0.00032834, 0.00067401, 0.00046206
23, 0.74606373, 0.00019415, 0.00029919, 0.00030258
24, 0.74616779, 0.00067640, 0.00266229, 0.00086988
25, 0.74600840, 0.00019280, 0.00041962, 0.00029540
26, 0.77003387, 0.00033283, 0.00054404, 0.00087384
27, 1.03515331, 0.00118329, 0.00469979, 0.00144521
28, 1.10926615, 0.00040249, 0.00066890, 0.00102817
29, 1.10745559, 0.00034520, 0.00057855, 0.00091372
30, 9.85341065, 0.14227045, 0.16459734, 0.28956168
31, 10.32242051, 0.69593732, 2.70715460, 0.42858258
32, 10.23826407, 0.47025496, 1.86149694, 0.45662092
33, 37.43862362, 0.42466942, 0.68696742, 0.95010252
