qubit, time(s), standardDev, maxDelta, minDelta
0, 0.11274035, 0.00014917, 0.00049751, 0.00025446
1, 0.12132050, 0.00011081, 0.00027632, 0.00014449
2, 0.12103940, 0.00024621, 0.00071548, 0.00035645
3, 0.12096659, 0.00012078, 0.00032433, 0.00021068
4, 0.11956166, 0.00032468, 0.00097443, 0.00026559
5, 0.11972795, 0.00009307, 0.00015321, 0.00022302
6, 0.12014700, 0.00006576, 0.00009798, 0.00014902
7, 0.12391770, 0.00070037, 0.00223410, 0.00042784
8, 0.12066514, 0.00017654, 0.00061386, 0.00018318
9, 0.11799620, 0.00031469, 0.00098873, 0.00026129
10, 0.11733147, 0.00020574, 0.00080851, 0.00033542
11, 0.11726249, 0.00020625, 0.00047456, 0.00030650
12, 0.11758558, 0.00018444, 0.00033149, 0.00022260
13, 0.11694376, 0.00015718, 0.00030835, 0.00030367
14, 0.11715432, 0.00024155, 0.00069574, 0.00028511
15, 0.11692251, 0.00021429, 0.00053965, 0.00042142
16, 0.11701399, 0.00023686, 0.00093883, 0.00017601
17, 0.11699700, 0.00007684, 0.00018907, 0.00017595
18, 0.11725698, 0.00017450, 0.00050201, 0.00016508
19, 0.11720246, 0.00017778, 0.00054437, 0.00012439
20, 0.11709338, 0.00007241, 0.00013369, 0.00012738
21, 0.11715978, 0.00009902, 0.00009614, 0.00031585
22, 0.11718081, 0.00005553, 0.00012900, 0.00008773
23, 0.11729981, 0.00027394, 0.00074219, 0.00045873
24, 0.11735698, 0.00033546, 0.00133613, 0.00025603
25, 0.11737722, 0.00020314, 0.00032693, 0.00049633
26, 0.11729764, 0.00011659, 0.00026227, 0.00015162
27, 0.11475431, 0.00523566, 0.02217473, 0.00196038
28, 1.23171647, 0.47064402, 2.02285640, 0.19305141
29, 1.18171661, 0.06038633, 0.11717136, 0.10577862
30, 1.19388121, 0.05428186, 0.13272482, 0.07849211
31, 1.29946460, 0.04719256, 0.14090263, 0.06490554
32, 1.27268862, 0.05368329, 0.15532423, 0.06838058
