qubit, time(s), standardDev, maxDelta, minDelta
0, 0.43958914, 0.00061891, 0.00116980, 0.00132406
1, 0.48026001, 0.00119052, 0.00266397, 0.00088418
2, 0.47349190, 0.00040464, 0.00048925, 0.00090383
3, 0.47339680, 0.00044821, 0.00089524, 0.00091484
4, 0.47429742, 0.00036998, 0.00050460, 0.00129021
5, 0.47477201, 0.00107280, 0.00166699, 0.00148300
6, 0.47039080, 0.00044618, 0.00058722, 0.00105381
7, 0.48417827, 0.00059597, 0.00069669, 0.00125715
8, 0.47814773, 0.00043945, 0.00059320, 0.00098871
9, 0.46712730, 0.00122501, 0.00172689, 0.00165222
10, 0.45888387, 0.00043145, 0.00058807, 0.00119888
11, 0.45852479, 0.00062967, 0.00101725, 0.00099190
12, 0.45991944, 0.00097044, 0.00098945, 0.00179456
13, 0.45669906, 0.00061615, 0.00118001, 0.00079005
14, 0.45668995, 0.00062942, 0.00092995, 0.00074399
15, 0.45740211, 0.00030044, 0.00033891, 0.00089419
16, 0.45817436, 0.00076564, 0.00212775, 0.00106229
17, 0.45713279, 0.00063036, 0.00096228, 0.00067899
18, 0.45806473, 0.00056095, 0.00117618, 0.00105494
19, 0.45733461, 0.00058744, 0.00103726, 0.00058851
20, 0.45717255, 0.00058662, 0.00117525, 0.00056545
21, 0.45745190, 0.00064810, 0.00148121, 0.00067695
22, 0.45802399, 0.00034381, 0.00037411, 0.00109502
23, 0.45795931, 0.00056331, 0.00066649, 0.00112427
24, 0.45815557, 0.00053759, 0.00090438, 0.00107950
25, 0.45818152, 0.00044696, 0.00081048, 0.00110974
26, 0.45836412, 0.00093079, 0.00259174, 0.00112711
27, 0.46015320, 0.00086896, 0.00282469, 0.00084720
28, 0.46095086, 0.00114594, 0.00330423, 0.00108196
29, 0.44525683, 0.01912615, 0.08336604, 0.00457370
