qubit, time(s), standardDev, maxDelta, minDelta
0, 0.11217875, 0.00006332, 0.00015335, 0.00009675
1, 0.12074773, 0.00003289, 0.00008447, 0.00004785
2, 0.12029579, 0.00004537, 0.00015519, 0.00005391
3, 0.12036302, 0.00012853, 0.00054500, 0.00008013
4, 0.11908171, 0.00004982, 0.00016119, 0.00006769
5, 0.11934786, 0.00012819, 0.00039024, 0.00010805
6, 0.11950299, 0.00003281, 0.00004510, 0.00006100
7, 0.12291180, 0.00007868, 0.00020016, 0.00009381
8, 0.12014152, 0.00008036, 0.00022553, 0.00011469
9, 0.11740862, 0.00002598, 0.00007356, 0.00003849
10, 0.11692262, 0.00002668, 0.00004935, 0.00005150
11, 0.11679826, 0.00002131, 0.00004067, 0.00004539
12, 0.11688737, 0.00003688, 0.00013372, 0.00003723
13, 0.11650767, 0.00001475, 0.00003347, 0.00002685
14, 0.11652331, 0.00002998, 0.00010390, 0.00003438
15, 0.11662444, 0.00030689, 0.00133172, 0.00011142
16, 0.11662790, 0.00005133, 0.00020198, 0.00005790
17, 0.11661160, 0.00001939, 0.00003731, 0.00003374
18, 0.11670218, 0.00018853, 0.00081697, 0.00008426
19, 0.11668087, 0.00002307, 0.00004934, 0.00003697
20, 0.11667958, 0.00002988, 0.00006326, 0.00005261
21, 0.11667503, 0.00003465, 0.00007902, 0.00003923
22, 0.11669915, 0.00003058, 0.00006492, 0.00004117
23, 0.11672057, 0.00003153, 0.00008737, 0.00004257
24, 0.11685658, 0.00004712, 0.00012255, 0.00005054
25, 0.11688141, 0.00003840, 0.00009056, 0.00005225
26, 0.11699210, 0.00003820, 0.00009192, 0.00004612
27, 0.11366711, 0.00436450, 0.01902380, 0.00107608
28, 1.02884526, 0.03524587, 0.09576874, 0.06122537
