qubit, time(s), standardDev, maxDelta, minDelta
0, 0.11218928, 0.00007997, 0.00019766, 0.00013040
1, 0.12081188, 0.00003965, 0.00010806, 0.00005692
2, 0.12026772, 0.00003827, 0.00013223, 0.00004683
3, 0.12030237, 0.00003810, 0.00010760, 0.00004427
4, 0.11910026, 0.00004642, 0.00012977, 0.00005238
5, 0.11933887, 0.00004316, 0.00011814, 0.00005591
6, 0.11949693, 0.00002806, 0.00006212, 0.00005494
7, 0.12287155, 0.00004405, 0.00009545, 0.00007550
8, 0.12019922, 0.00016541, 0.00068473, 0.00015403
9, 0.11753519, 0.00034286, 0.00149267, 0.00010831
10, 0.11697490, 0.00001976, 0.00004213, 0.00003178
11, 0.11686155, 0.00002482, 0.00005964, 0.00003763
12, 0.11695347, 0.00004094, 0.00011458, 0.00005255
13, 0.11655567, 0.00003728, 0.00013330, 0.00004170
14, 0.11656654, 0.00002176, 0.00004828, 0.00003564
15, 0.11650972, 0.00002777, 0.00005836, 0.00004869
16, 0.11664624, 0.00004041, 0.00010567, 0.00005121
17, 0.11661261, 0.00002638, 0.00006443, 0.00005668
18, 0.11676129, 0.00003115, 0.00008575, 0.00005730
19, 0.11677716, 0.00016542, 0.00071075, 0.00011609
20, 0.11670589, 0.00003209, 0.00005531, 0.00006485
21, 0.11677371, 0.00005473, 0.00015033, 0.00008165
22, 0.11672891, 0.00003720, 0.00011812, 0.00006284
23, 0.11675833, 0.00003095, 0.00007178, 0.00006627
24, 0.11684026, 0.00004159, 0.00015961, 0.00003923
25, 0.11686261, 0.00002650, 0.00008051, 0.00003655
26, 0.11695671, 0.00003417, 0.00012016, 0.00004578
27, 0.11366895, 0.00432803, 0.01886507, 0.00104908
28, 0.98378448, 0.04383453, 0.12607045, 0.05303459
