qubit, time(s), standardDev, maxDelta, minDelta
0, 0.63088801, 0.02372636, 0.07017181, 0.00996687
1, 0.69314296, 0.00044952, 0.00136702, 0.00034888
2, 0.67202797, 0.00017279, 0.00051794, 0.00026503
3, 0.67284200, 0.00012821, 0.00028088, 0.00022981
4, 0.67256025, 0.00005834, 0.00012084, 0.00008134
5, 0.67482308, 0.00012698, 0.00042292, 0.00013927
6, 0.66300991, 0.00043882, 0.00183794, 0.00036480
7, 0.67660714, 0.00054674, 0.00177382, 0.00042011
8, 0.66836045, 0.00004436, 0.00010159, 0.00007341
9, 0.66195245, 0.00007370, 0.00020342, 0.00011249
10, 0.64587505, 0.00041799, 0.00177877, 0.00028307
11, 0.64494381, 0.00040347, 0.00168529, 0.00032983
12, 0.64444394, 0.00011401, 0.00017529, 0.00025196
13, 0.65173662, 0.00079562, 0.00149643, 0.00075853
14, 0.65198451, 0.00039189, 0.00163358, 0.00029665
15, 0.65221685, 0.00043007, 0.00177294, 0.00042385
16, 0.65340736, 0.00598106, 0.02424548, 0.00225952
17, 0.65163984, 0.00072064, 0.00186024, 0.00061789
18, 0.65176356, 0.00064788, 0.00165641, 0.00060475
19, 0.65333990, 0.00481373, 0.01484414, 0.00215582
20, 0.65153253, 0.00019679, 0.00074351, 0.00025356
21, 0.65152594, 0.00043520, 0.00183300, 0.00034090
22, 0.65158286, 0.00044014, 0.00186310, 0.00031796
23, 0.65169920, 0.00086992, 0.00374757, 0.00047339
24, 0.65162780, 0.00039733, 0.00162814, 0.00034978
25, 0.65157740, 0.00016291, 0.00019963, 0.00034730
26, 0.66303566, 0.00017839, 0.00055048, 0.00037649
27, 0.94937716, 0.00050386, 0.00075784, 0.00135121
28, 0.84968675, 0.00027841, 0.00068222, 0.00044383
29, 0.93084595, 0.00071614, 0.00103595, 0.00127194
