qubit, time(s), standardDev, maxDelta, minDelta
0, 4.42812001, 0.01490064, 0.03911794, 0.00792109
1, 4.80503225, 0.01494624, 0.04856181, 0.00636005
2, 4.79455823, 0.01344897, 0.03445774, 0.00635833
3, 4.78568190, 0.01410540, 0.03276902, 0.00778168
4, 4.77110896, 0.01487983, 0.04066100, 0.00793490
5, 4.74117402, 0.01296009, 0.02812597, 0.00745801
6, 4.74630864, 0.01139180, 0.03268521, 0.00493867
7, 4.85684845, 0.01452852, 0.03087142, 0.00778649
8, 4.78090314, 0.01408880, 0.03057286, 0.00763134
9, 4.67390716, 0.01449799, 0.03123987, 0.00795496
10, 4.65657686, 0.01445920, 0.03208996, 0.00788783
11, 4.65043459, 0.01291887, 0.03287139, 0.00565157
12, 4.66697649, 0.01403076, 0.03243037, 0.00763539
13, 4.67330141, 0.01510929, 0.03302460, 0.00788946
14, 4.67287990, 0.01647259, 0.04299906, 0.00836607
15, 4.66508731, 0.01487322, 0.04475871, 0.00683244
16, 4.66635873, 0.01559963, 0.03929017, 0.00802352
17, 4.66527591, 0.01326047, 0.03027906, 0.00759397
18, 4.66836019, 0.00595186, 0.02351885, 0.00313325
19, 4.67377280, 0.01713352, 0.03887917, 0.00893687
20, 4.67260556, 0.01544748, 0.03740449, 0.00815659
21, 4.67199006, 0.01465075, 0.03673396, 0.00865808
22, 4.66756406, 0.01288123, 0.03159604, 0.00568619
23, 4.66616020, 0.01723813, 0.04076376, 0.00892720
24, 4.65810746, 0.01556508, 0.03991252, 0.00849146
25, 4.64152769, 0.01474015, 0.03191324, 0.00762466
26, 4.60912715, 0.01337016, 0.03230180, 0.00646816
27, 4.57415634, 0.01967782, 0.04773682, 0.01021248
28, 4.43336711, 0.01494486, 0.04281988, 0.00655613
