qubit, time(s), standardDev, maxDelta, minDelta
0, 0.09149268, 0.00294017, 0.01274726, 0.00080564
1, 0.10071125, 0.00130058, 0.00566468, 0.00041308
2, 0.09821095, 0.00004585, 0.00010595, 0.00009003
3, 0.09840156, 0.00006234, 0.00008844, 0.00013543
4, 0.09907658, 0.00524135, 0.02284639, 0.00122864
5, 0.09722012, 0.00018509, 0.00072700, 0.00023121
6, 0.09683793, 0.00005700, 0.00010211, 0.00012891
7, 0.09772519, 0.00004696, 0.00011393, 0.00008825
8, 0.09758462, 0.00449513, 0.01959358, 0.00107254
9, 0.09634407, 0.00165343, 0.00562184, 0.00060208
10, 0.09469402, 0.00075393, 0.00327909, 0.00026906
11, 0.09449472, 0.00004918, 0.00008831, 0.00010362
12, 0.09447069, 0.00010092, 0.00037127, 0.00011964
13, 0.09727471, 0.00578176, 0.02520020, 0.00143569
14, 0.09590656, 0.00004227, 0.00006241, 0.00008947
15, 0.09596711, 0.00008830, 0.00021070, 0.00020510
16, 0.09595420, 0.00008508, 0.00027392, 0.00015118
17, 0.09720592, 0.00470981, 0.02015705, 0.00138383
18, 0.09625533, 0.00137645, 0.00599668, 0.00038936
19, 0.09592539, 0.00005881, 0.00014061, 0.00009352
20, 0.09607880, 0.00073602, 0.00320013, 0.00027101
21, 0.09706278, 0.00480544, 0.02093725, 0.00123186
22, 0.09593714, 0.00003958, 0.00006305, 0.00005807
23, 0.09594285, 0.00004399, 0.00009620, 0.00005782
24, 0.09594816, 0.00005246, 0.00013095, 0.00006622
25, 0.09595103, 0.00004670, 0.00009375, 0.00009484
26, 0.10111357, 0.00431522, 0.01880144, 0.00143458
27, 0.14907410, 0.00057705, 0.00056407, 0.00236800
28, 0.20591177, 0.00043448, 0.00041925, 0.00170983
