qubit, time(s), standardDev, maxDelta, minDelta
0, 0.64388326, 0.01188898, 0.05180689, 0.00388912
1, 0.71634986, 0.00031201, 0.00118420, 0.00038483
2, 0.68943660, 0.00005706, 0.00010545, 0.00011580
3, 0.69021330, 0.00008103, 0.00015368, 0.00014529
4, 0.69026287, 0.00010141, 0.00016897, 0.00021369
5, 0.69169996, 0.00012830, 0.00034597, 0.00015996
6, 0.69514360, 0.00009910, 0.00020037, 0.00018277
7, 0.73706906, 0.00012062, 0.00031884, 0.00023692
8, 0.71289032, 0.00008168, 0.00011261, 0.00015132
9, 0.68843056, 0.00290249, 0.01259445, 0.00093366
10, 0.66882992, 0.00363765, 0.01430511, 0.00133801
11, 0.66623806, 0.00291393, 0.01259686, 0.00094007
12, 0.66413250, 0.00010546, 0.00025258, 0.00022640
13, 0.67625721, 0.00010713, 0.00023096, 0.00018818
14, 0.67647130, 0.00017529, 0.00030177, 0.00040038
15, 0.67658685, 0.00014568, 0.00027705, 0.00020169
16, 0.67432028, 0.00011058, 0.00020975, 0.00024134
17, 0.67448014, 0.00021509, 0.00067383, 0.00035709
18, 0.67495099, 0.00013423, 0.00016483, 0.00031821
19, 0.67448863, 0.00017254, 0.00027648, 0.00036749
20, 0.67462188, 0.00080038, 0.00343031, 0.00048786
21, 0.67234490, 0.00017574, 0.00041010, 0.00027988
22, 0.67228926, 0.00018729, 0.00038182, 0.00030221
23, 0.67206751, 0.00012633, 0.00033535, 0.00021254
24, 0.67203937, 0.00016590, 0.00027456, 0.00030432
25, 0.67222792, 0.00036759, 0.00147718, 0.00026494
26, 0.94855446, 0.00056288, 0.00173765, 0.00053138
27, 1.11977969, 0.00079587, 0.00198830, 0.00125753
28, 1.03730718, 0.00033127, 0.00062069, 0.00063411
29, 1.11690938, 0.01728856, 0.07535160, 0.00439537
30, 17.39276257, 2.90916887, 6.52470741, 4.35747757
31, 18.70346349, 2.60226119, 6.00043637, 4.64141339
32, 19.33647909, 1.85798047, 3.10720572, 5.34115114
33, 43.94324694, 1.31995423, 1.88372316, 2.41511402
34, 44.30333911, 1.24560934, 2.56001104, 3.51374017
