qubit, time(s), standardDev, maxDelta, minDelta
0, 0.20080869, 0.00003764, 0.00006230, 0.00006979
1, 0.21965636, 0.00003743, 0.00007974, 0.00004925
2, 0.21713245, 0.00003542, 0.00006974, 0.00007260
3, 0.21729076, 0.00005164, 0.00021112, 0.00003874
4, 0.21750991, 0.00002426, 0.00004203, 0.00006096
5, 0.21455891, 0.00037897, 0.00164001, 0.00013192
6, 0.21569966, 0.00052504, 0.00228621, 0.00017761
7, 0.21958305, 0.00003993, 0.00014113, 0.00005223
8, 0.21730655, 0.00002873, 0.00004631, 0.00005955
9, 0.21011806, 0.00003429, 0.00006795, 0.00007796
10, 0.20888780, 0.00043332, 0.00187923, 0.00015663
11, 0.20881488, 0.00004150, 0.00010917, 0.00006297
12, 0.20876036, 0.00004450, 0.00012364, 0.00006042
13, 0.20972435, 0.00067851, 0.00295169, 0.00023143
14, 0.21045295, 0.00003256, 0.00006207, 0.00005308
15, 0.20972739, 0.00002187, 0.00003566, 0.00004946
16, 0.20994866, 0.00003511, 0.00007522, 0.00005877
17, 0.20963573, 0.00039228, 0.00168729, 0.00015783
18, 0.20959902, 0.00003669, 0.00008512, 0.00005913
19, 0.20962011, 0.00004658, 0.00013794, 0.00004827
20, 0.20979185, 0.00063922, 0.00275426, 0.00023384
21, 0.20967852, 0.00024588, 0.00105442, 0.00009953
22, 0.20964205, 0.00002634, 0.00006211, 0.00003493
23, 0.21004821, 0.00128519, 0.00431489, 0.00050522
24, 0.20968430, 0.00006144, 0.00021560, 0.00005429
25, 0.20961545, 0.00003138, 0.00005462, 0.00004456
26, 0.21007910, 0.00103167, 0.00449095, 0.00032511
27, 0.20959800, 0.00002972, 0.00005990, 0.00003785
28, 0.21715330, 0.00011301, 0.00022174, 0.00019120
