qubit, time(s), standardDev, maxDelta, minDelta
0, 2.59684720, 0.00276898, 0.00825486, 0.00267425
1, 2.86484379, 0.00147940, 0.00477129, 0.00092286
2, 2.85753335, 0.00554290, 0.01328646, 0.00506414
3, 2.81521436, 0.00151832, 0.00425462, 0.00116941
4, 2.81886361, 0.00074990, 0.00211432, 0.00066254
5, 2.82816298, 0.00289452, 0.00463789, 0.00367887
6, 2.83285931, 0.00472514, 0.01052376, 0.00532821
7, 2.86232744, 0.00253455, 0.00712861, 0.00191556
8, 2.82601230, 0.00109463, 0.00325854, 0.00070636
9, 2.78249155, 0.00193664, 0.00703562, 0.00139962
10, 2.76878951, 0.00361211, 0.00836232, 0.00392244
11, 2.72694701, 0.00354461, 0.00841409, 0.00285619
12, 2.73210409, 0.00361676, 0.00750897, 0.00499322
13, 2.72097712, 0.00296473, 0.00826092, 0.00264602
14, 2.72165605, 0.00449758, 0.01144294, 0.00400492
15, 2.72057370, 0.00205138, 0.00623628, 0.00157670
16, 2.72078013, 0.00235476, 0.00548267, 0.00167799
17, 2.72212433, 0.00419662, 0.01107575, 0.00308536
18, 2.72171742, 0.00355792, 0.00905365, 0.00240237
19, 2.72205392, 0.00347712, 0.01036104, 0.00263993
20, 2.72183312, 0.00235726, 0.00598990, 0.00205411
21, 2.72225351, 0.00243960, 0.00687342, 0.00250239
22, 2.72269989, 0.00293959, 0.00550221, 0.00297691
23, 2.72279997, 0.00353834, 0.00973301, 0.00307388
24, 2.72351818, 0.00342868, 0.00673385, 0.00347309
25, 2.72317555, 0.00251811, 0.00548027, 0.00243762
26, 2.72225120, 0.00161437, 0.00497983, 0.00180438
27, 2.73194420, 0.00468769, 0.01367486, 0.00293529
28, 2.72920758, 0.00276687, 0.00764936, 0.00261670
29, 2.72808856, 0.00440256, 0.01339251, 0.00410551
30, 2.59562513, 0.00369307, 0.01294879, 0.00258323
