qubit, time(s), standardDev, maxDelta, minDelta
0, 0.22410358, 0.00023896, 0.00022446, 0.00068249
1, 0.24156935, 0.00026210, 0.00035779, 0.00063426
2, 0.24108022, 0.00020895, 0.00031692, 0.00050610
3, 0.24034138, 0.00060754, 0.00100069, 0.00052829
4, 0.23805008, 0.00024501, 0.00030603, 0.00064406
5, 0.23871763, 0.00018431, 0.00027721, 0.00052173
6, 0.23962096, 0.00013657, 0.00015303, 0.00050286
7, 0.24513969, 0.00006945, 0.00015535, 0.00012360
8, 0.24010521, 0.00015130, 0.00020760, 0.00051314
9, 0.23472407, 0.00021541, 0.00032279, 0.00047710
10, 0.23400025, 0.00025107, 0.00028272, 0.00065904
11, 0.23360471, 0.00020531, 0.00016328, 0.00068978
12, 0.23440490, 0.00008325, 0.00012913, 0.00027094
13, 0.23314766, 0.00002681, 0.00005218, 0.00005368
14, 0.23295395, 0.00028481, 0.00033290, 0.00076907
15, 0.23317542, 0.00015720, 0.00013170, 0.00063243
16, 0.23342874, 0.00003686, 0.00006816, 0.00006177
17, 0.23354940, 0.00015324, 0.00010748, 0.00051837
18, 0.23357280, 0.00021660, 0.00026027, 0.00066384
19, 0.23328203, 0.00026427, 0.00029379, 0.00068802
20, 0.23345200, 0.00021416, 0.00018700, 0.00058905
21, 0.23364418, 0.00007924, 0.00014575, 0.00014822
22, 0.23354526, 0.00022858, 0.00023870, 0.00061841
23, 0.23367203, 0.00018437, 0.00034701, 0.00040115
24, 0.23371396, 0.00023488, 0.00092497, 0.00041399
25, 0.23404102, 0.00018919, 0.00081487, 0.00012784
26, 0.23344282, 0.00022139, 0.00090333, 0.00020579
27, 0.22431583, 0.00046075, 0.00144415, 0.00037975
28, 1.27237061, 0.00852734, 0.03259536, 0.00700144
