threadsPerRank, ranks, time(s), standardDev, maxDelta, minDelta, speedup
24, 1, 97.03351990, 0.01202719, 0.01069697, 0.01680104, 1
24, 4, 31.67417796, 0.16449749, 0.16010992, 0.22621497, 3.06
24, 16, 9.84937096, 0.04469929, 0.04539299, 0.06079698, 9.85
