qubit, time(s), standardDev, maxDelta, minDelta
0, 0.01895802, 0.00020999, 0.00058587, 0.00043814
1, 0.01996127, 0.00022170, 0.00026258, 0.00049416
2, 0.01796837, 0.00162793, 0.00195961, 0.00159140
3, 0.01638352, 0.00002291, 0.00008858, 0.00001966
4, 0.01636308, 0.00000675, 0.00001293, 0.00001210
5, 0.01620237, 0.00002730, 0.00009068, 0.00002829
6, 0.01630768, 0.00002738, 0.00007120, 0.00003656
7, 0.01687193, 0.00001708, 0.00002813, 0.00003195
8, 0.01645699, 0.00002114, 0.00005302, 0.00002613
9, 0.01618146, 0.00022305, 0.00096942, 0.00007533
10, 0.01596894, 0.00000485, 0.00000916, 0.00000992
11, 0.01596085, 0.00001409, 0.00004133, 0.00001374
12, 0.01594926, 0.00001440, 0.00003766, 0.00001432
13, 0.01610340, 0.00003045, 0.00009953, 0.00002922
14, 0.01610624, 0.00002932, 0.00011386, 0.00003515
15, 0.01606628, 0.00001434, 0.00003675, 0.00002238
16, 0.01607846, 0.00000920, 0.00001861, 0.00001644
17, 0.01604947, 0.00001495, 0.00004665, 0.00001558
18, 0.01606454, 0.00001253, 0.00003444, 0.00002159
19, 0.01607722, 0.00003665, 0.00013381, 0.00002331
20, 0.01615634, 0.00003361, 0.00012050, 0.00003734
21, 0.01716112, 0.00003575, 0.00005580, 0.00008606
22, 0.01663833, 0.00003076, 0.00006576, 0.00006037
23, 0.01700426, 0.00003584, 0.00004791, 0.00008346
24, 0.01677105, 0.00003873, 0.00007775, 0.00007699
25, 0.29609669, 0.01555235, 0.06371032, 0.01847161
26, 0.30229313, 0.01606183, 0.04770296, 0.00917704
27, 0.29967991, 0.01089680, 0.04647001, 0.00678197
28, 0.25602826, 0.00850218, 0.02704183, 0.00970110
