qubit, time(s), standardDev, maxDelta, minDelta
0, 17.73399556, 0.02297563, 0.03745043, 0.03271043
1, 19.50671675, 0.02249539, 0.02835128, 0.04380372
2, 19.39664910, 0.02397892, 0.03150179, 0.04061506
3, 19.23477875, 0.01687846, 0.01767911, 0.04131471
4, 19.23776547, 0.02151515, 0.02021965, 0.04027239
5, 19.24672155, 0.01907718, 0.02484126, 0.04417257
6, 19.22036327, 0.02142883, 0.01875077, 0.03903641
7, 19.56109154, 0.02303337, 0.03337061, 0.04304254
8, 19.31278142, 0.02194272, 0.02845351, 0.03803142
9, 18.95085590, 0.02101204, 0.01655109, 0.03668396
10, 18.80582784, 0.01991702, 0.04176022, 0.03805374
11, 18.63447044, 0.02085107, 0.01923778, 0.03628848
12, 18.69681592, 0.02267128, 0.01899605, 0.03941483
13, 18.72133074, 0.02268866, 0.01658621, 0.03996477
14, 18.71331445, 0.02165345, 0.01749953, 0.03644840
15, 18.69457005, 0.02414928, 0.03291608, 0.04234289
16, 18.69540157, 0.02351350, 0.03071556, 0.04512563
17, 18.68393682, 0.02284015, 0.02025725, 0.03514670
18, 18.72316245, 0.02289511, 0.01806852, 0.04015640
19, 18.72447108, 0.02386275, 0.01947094, 0.04164909
20, 18.71650966, 0.02309756, 0.02601639, 0.03492554
21, 18.71632416, 0.02404704, 0.02045982, 0.03597100
22, 18.71440850, 0.02098812, 0.01835669, 0.03664051
23, 18.71520596, 0.02386800, 0.02823491, 0.04151206
24, 18.70932804, 0.02375842, 0.02711500, 0.04239522
25, 18.68134766, 0.01879432, 0.01985736, 0.03865867
26, 18.65094085, 0.02226374, 0.01906209, 0.03924890
27, 18.64178027, 0.02495067, 0.02635490, 0.04309524
28, 18.50271735, 0.02205566, 0.02644458, 0.03697143
29, 18.25213671, 0.02512548, 0.02889323, 0.04249668
30, 17.76533455, 0.02519436, 0.02573949, 0.04070538
