qubit, time(s), standardDev, maxDelta, minDelta
0, 1.31503866, 0.00065707, 0.00171354, 0.00093458
1, 1.43852929, 0.00189726, 0.00479075, 0.00156430
2, 1.43394500, 0.00059728, 0.00121683, 0.00088817
3, 1.41712909, 0.00015196, 0.00022287, 0.00037723
4, 1.41999835, 0.00014901, 0.00031668, 0.00022238
5, 1.41869390, 0.00070985, 0.00266612, 0.00062287
6, 1.42375931, 0.00027091, 0.00076977, 0.00051221
7, 1.44834137, 0.00035898, 0.00118971, 0.00046229
8, 1.43144420, 0.00038577, 0.00120589, 0.00048522
9, 1.39568620, 0.00141180, 0.00565095, 0.00085216
10, 1.38987688, 0.00126223, 0.00354716, 0.00091294
11, 1.37243706, 0.00049769, 0.00171393, 0.00037605
12, 1.37428855, 0.00020776, 0.00074126, 0.00023769
13, 1.36778556, 0.00076032, 0.00306429, 0.00038468
14, 1.36855980, 0.00126607, 0.00334529, 0.00078984
15, 1.36691860, 0.00038499, 0.00159737, 0.00023559
16, 1.37008877, 0.00076567, 0.00321226, 0.00037570
17, 1.36908212, 0.00029747, 0.00105987, 0.00034895
18, 1.36915846, 0.00025319, 0.00092344, 0.00027843
19, 1.36977671, 0.00065315, 0.00203015, 0.00049065
20, 1.36983000, 0.00035709, 0.00142587, 0.00036012
21, 1.37072231, 0.00036432, 0.00139188, 0.00037838
22, 1.37047909, 0.00055529, 0.00177003, 0.00039004
23, 1.37013282, 0.00032185, 0.00128733, 0.00025285
24, 1.37056206, 0.00084676, 0.00346805, 0.00064515
25, 1.37084197, 0.00086255, 0.00356389, 0.00050091
26, 1.37101446, 0.00034192, 0.00139059, 0.00035130
27, 1.37991964, 0.00246494, 0.00769056, 0.00196754
28, 1.37483010, 0.00235114, 0.00870481, 0.00135002
29, 1.37568419, 0.00200793, 0.00424082, 0.00211828
30, 1.32008592, 0.01015854, 0.04393800, 0.00338475
