qubit, time(s), standardDev, maxDelta, minDelta
0, 0.22465453, 0.00013368, 0.00020542, 0.00023351
1, 0.24227380, 0.00014505, 0.00035812, 0.00029587
2, 0.24176069, 0.00051893, 0.00189427, 0.00044080
3, 0.24156713, 0.00015827, 0.00024581, 0.00033212
4, 0.24201983, 0.00035975, 0.00110728, 0.00057906
5, 0.23925883, 0.00023847, 0.00073117, 0.00043565
6, 0.24010093, 0.00034373, 0.00073617, 0.00058897
7, 0.24739478, 0.00044495, 0.00142124, 0.00048873
8, 0.24770864, 0.01133820, 0.04535738, 0.00416859
9, 0.24833908, 0.02438402, 0.07625494, 0.01310720
10, 0.23452154, 0.00009553, 0.00013932, 0.00029460
11, 0.23417876, 0.00018281, 0.00052216, 0.00031779
12, 0.23461988, 0.00029129, 0.00071404, 0.00086691
13, 0.23345662, 0.00017614, 0.00021456, 0.00034667
14, 0.23340908, 0.00017534, 0.00044092, 0.00023404
15, 0.23364007, 0.00015854, 0.00032794, 0.00029409
16, 0.23372210, 0.00013018, 0.00024186, 0.00028099
17, 0.23387367, 0.00024756, 0.00060838, 0.00034958
18, 0.23409352, 0.00030635, 0.00044742, 0.00045357
19, 0.23391999, 0.00014371, 0.00045286, 0.00032915
20, 0.23400995, 0.00019918, 0.00077895, 0.00021406
21, 0.23395364, 0.00020465, 0.00033028, 0.00032775
22, 0.23412846, 0.00021281, 0.00060846, 0.00042127
23, 0.23409742, 0.00028383, 0.00068766, 0.00043553
24, 0.23397459, 0.00012803, 0.00040947, 0.00022854
25, 0.23438128, 0.00027562, 0.00059954, 0.00036343
26, 0.23449384, 0.00062252, 0.00243725, 0.00072991
27, 0.23550267, 0.00026822, 0.00035744, 0.00055356
28, 0.22785096, 0.00943822, 0.04112620, 0.00257592
29, 2.92636354, 0.51503868, 2.13310854, 0.33280857
30, 2.95848087, 0.09628599, 0.24889299, 0.21309284
31, 3.02844946, 0.11292045, 0.36101754, 0.17645447
32, 3.26766833, 0.45428951, 1.76135365, 0.31159338
33, 3.15475385, 0.09956234, 0.19134910, 0.21712892
34, 3.32308296, 0.46989237, 1.81182524, 0.28853086
