qubit, time(s), standardDev, maxDelta, minDelta
0, 0.76805350, 0.06278033, 0.25789050, 0.01905247
1, 0.78107412, 0.00020691, 0.00048296, 0.00041707
2, 0.76273475, 0.00019980, 0.00040641, 0.00028381
3, 0.76320543, 0.00011943, 0.00024257, 0.00023260
4, 0.76519971, 0.00024834, 0.00046129, 0.00045066
5, 0.76922450, 0.00025647, 0.00062551, 0.00042448
6, 0.77817574, 0.00018116, 0.00039110, 0.00031366
7, 0.83079464, 0.00031502, 0.00123327, 0.00039465
8, 0.80921443, 0.00022543, 0.00032442, 0.00036843
9, 0.76156936, 0.00022913, 0.00060859, 0.00036249
10, 0.74987115, 0.00020979, 0.00042187, 0.00048221
11, 0.75121040, 0.00018553, 0.00035672, 0.00034757
12, 0.75055627, 0.00052897, 0.00217386, 0.00044421
13, 0.76289852, 0.00262716, 0.00856631, 0.00156457
14, 0.76502990, 0.00027434, 0.00040103, 0.00058984
15, 0.76523861, 0.00022374, 0.00045220, 0.00042351
16, 0.76409948, 0.00026660, 0.00058353, 0.00059545
17, 0.76169196, 0.00024178, 0.00045213, 0.00048701
18, 0.76183575, 0.00031705, 0.00058228, 0.00064963
19, 0.76211699, 0.00027741, 0.00062410, 0.00055488
20, 0.76159269, 0.00021417, 0.00050730, 0.00030667
21, 0.76157038, 0.00046791, 0.00176556, 0.00056641
22, 0.76145309, 0.00025169, 0.00041300, 0.00048608
23, 0.76113335, 0.00018344, 0.00043281, 0.00032440
24, 0.76127243, 0.00029434, 0.00066257, 0.00058341
25, 0.76159447, 0.00024611, 0.00065762, 0.00045627
26, 1.03560009, 0.00040433, 0.00074492, 0.00100007
27, 1.11313396, 0.00033927, 0.00092812, 0.00072484
28, 1.19263586, 0.02742561, 0.01515309, 0.05522999
29, 1.20602862, 0.00230538, 0.00582846, 0.00423876
30, 9.83244445, 0.14901918, 0.38517067, 0.27015355
31, 9.91537572, 0.13233257, 0.20001124, 0.24732853
32, 32.98304461, 0.56230445, 0.94724752, 1.06184863
33, 46.12444251, 0.99248292, 1.68032153, 2.75346153
34, 76.80648736, 1.61170342, 2.38307472, 4.54258541
35, 92.68999041, 1.19361818, 3.24513470, 2.05754651
